timestamp_utc,d_model,num_heads,d_c,d_kv_rope,seq_len,reps,decompress_ms,absorb_ms,speedup_decompress_over_absorb,max_abs_diff_prefix8,mha_cache_bytes_per_tok,mla_cache_bytes_per_tok,cache_compress_vs_mha,device
2026-07-14T13:17:20+00:00,256,8,64,32,64,5,11.1422,9.2733,1.2015,2.17e-18,2048,384,5.33,cpu-numpy
2026-07-14T13:17:40+00:00,512,8,128,64,256,8,425.6022,76.5254,5.5616,1.21e-17,4096,768,5.33,cpu-numpy
